fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
1,MLP,base,0.021054325845470033,0.0006308207513167312,0.02511614523203613,87.32064053006053,-0.7735490319720355,53.333333333333336,30
2,MLP,base,0.011189072804503741,0.00021111533821407646,0.014529808608996763,42.431128877634116,-0.40959579870004403,56.666666666666664,30
3,MLP,base,0.05626663196421347,0.006150828746741135,0.07842721942502574,80.04269392391325,-0.531997900304036,63.33333333333333,30
4,MLP,base,0.10551794186202704,0.014380564865964092,0.11991899293257967,528.1171005850923,-107.63891565096658,53.333333333333336,30
5,MLP,base,0.01451033749791816,0.0003543977876427361,0.018825455841565593,69.76531839870687,-1.6188632810442525,50.0,30
6,MLP,base,0.018948421866818704,0.000650209754624639,0.02549921086278238,58.59328252178441,-1.974676917592269,56.666666666666664,30
7,MLP,base,0.023189279757730382,0.0009443273199936266,0.030729909209003963,53.85090405053976,-1.4068420583046137,60.0,30
8,MLP,base,0.02472158714315534,0.0008648552851958505,0.029408422011319317,49.17505528708086,-1.963932816021293,70.0,30
9,MLP,base,0.03916715119167236,0.002328377951802434,0.048253268819867884,138.74176689299645,-3.979920493399124,60.0,30
10,MLP,base,0.026017819497686945,0.0009350534355462218,0.030578643454970692,74.06412279978831,-5.646085531317542,50.0,30
11,MLP,base,0.017279815937039405,0.0005011376360541884,0.02238610363717162,54.54491839338532,-2.1554714307202048,53.333333333333336,30
12,MLP,base,0.017436020689787016,0.0004502382512461909,0.021218818328224382,44.37023976663508,-0.04796909558184215,56.666666666666664,30
13,MLP,base,0.019098021184225912,0.0005117187031936517,0.02262120030399916,76.87463112618038,-8.046347451712997,46.666666666666664,30
14,MLP,base,0.008033295225613345,0.00010722892608786858,0.010355140080552681,49.21815544706636,-1.008373918006896,73.33333333333333,30
15,MLP,base,0.09022821605555144,0.009736118825573518,0.0986717731956486,419.9033796270933,-66.47877407076999,46.666666666666664,30
16,MLP,base,0.015129434353032005,0.00034132056745571256,0.018474863124140123,100.30572776873856,-9.478248387515718,46.666666666666664,30
17,MLP,base,0.014349005214628266,0.0005117558350102081,0.022622021019577544,79.55805088881162,-0.7053932133573644,53.333333333333336,30
18,MLP,base,0.08910581355409221,0.01056523105622013,0.10278730980145424,536.3519725887658,-246.70100298812477,50.0,30
19,MLP,base,0.029326024394160006,0.0012371965766985037,0.0351738052632709,134.82349860188242,-6.0610779607594,60.0,30
20,MLP,base,0.027662059008801757,0.0008776442079379471,0.029625060471464817,141.17523753421068,-31.5988613501003,53.333333333333336,30
21,MLP,base,0.009376162124080748,0.00012106027222466449,0.011002739305494086,37.50068274995098,-0.12140972947674777,56.666666666666664,30
22,MLP,base,0.010365971705407505,0.0001978211116798381,0.014064889323412329,42.09426071346453,-0.9191259802549079,66.66666666666666,30
1,LSTM,base,0.00844160314091095,0.0003297925020537426,0.01816019003352505,26.00060215277192,0.0727902156862078,60.0,30
2,LSTM,base,0.008703373721152924,0.0001380566199535335,0.011749749782592543,37.84169416589958,0.07820988699600817,66.66666666666666,30
3,LSTM,base,0.032037828982581014,0.004255465807409108,0.06523393141156762,29.589067217443578,-0.059916468202841466,70.0,30
4,LSTM,base,0.007475155624495569,0.00013480216134020015,0.011610433296832645,33.94807856374726,-0.018371724052870686,76.66666666666667,30
5,LSTM,base,0.00701368204601561,9.465161859801748e-05,0.009728906341311827,29.014464044077766,0.3005609598002412,56.666666666666664,30
6,LSTM,base,0.010349165528747668,0.0002203680837868575,0.014844799890428214,24.52247467399658,-0.00817289736484006,70.0,30
7,LSTM,base,0.014272453871776619,0.0005460283788524321,0.023367250134588624,22.542575142773984,-0.3916827771739029,63.33333333333333,30
8,LSTM,base,0.011977177631848858,0.00023332576416740036,0.015275004555397041,22.098974194002587,0.20037270850186728,56.666666666666664,30
9,LSTM,base,0.009629491224089426,0.000499717539186676,0.022354362866936647,21.735384591491453,-0.06879281019659178,66.66666666666666,30
10,LSTM,base,0.007244628731209111,0.0001553187147710485,0.012462692918107567,17.18756184044457,-0.10395986340576835,70.0,30
11,LSTM,base,0.010440512388541962,0.0001614708620956417,0.012707118559911279,28.9556555119925,-0.016720069656602332,66.66666666666666,30
12,LSTM,base,0.011885403509702111,0.00030653603498953064,0.017508170520917674,30.177324792923383,0.28651044094525924,70.0,30
13,LSTM,base,0.006173730807483955,5.816803905245861e-05,0.00762679743093119,24.626121915634272,-0.02831553462726566,60.0,30
14,LSTM,base,0.009769903876419296,0.00011053695839114024,0.01051365580524397,77.46041077794771,-1.0703326267266946,43.333333333333336,30
15,LSTM,base,0.007491500280879646,0.0001242752270640103,0.011147879935844766,30.535543473461264,0.13867731897242863,73.33333333333333,30
16,LSTM,base,0.0057427577670332115,4.6493003037418804e-05,0.006818577787003592,40.19382859119228,-0.42729527768879083,50.0,30
17,LSTM,base,0.009349667551541306,0.0003033040330708354,0.017415626117680508,79.30156491795073,-0.010741068682885713,60.0,30
18,LSTM,base,0.00515281098355822,3.961604634842182e-05,0.0062941279259657425,32.27685446813066,0.07120493979628639,70.0,30
19,LSTM,base,0.008477535428152544,0.00015849870288758033,0.012589626796993639,27.82109417763078,0.09539702998937383,73.33333333333333,30
20,LSTM,base,0.004075984752024376,2.538937500638547e-05,0.005038787057059017,23.689953251157974,0.056947327729210295,70.0,30
21,LSTM,base,0.0077371467090306826,9.760885684604806e-05,0.00987971947203199,26.96619871208113,0.09582623813098956,66.66666666666666,30
22,LSTM,base,0.007387175058350483,9.939186759488158e-05,0.009969547010515653,26.18776155403385,0.035767650340052914,63.33333333333333,30
1,MLP,extended,0.01295646527281982,0.00034188312232834376,0.018490081728546895,49.161669722152006,0.038797504065353317,53.333333333333336,30
2,MLP,extended,0.011644960021856736,0.00022853072326114047,0.015117232658828151,54.77788638639027,-0.525876566373078,60.0,30
3,MLP,extended,0.034649957244255424,0.0033235378576113197,0.057650133196822016,48.13128706733216,0.1722004905210207,56.666666666666664,30
4,MLP,extended,0.011403458343946016,0.00026638418070419297,0.016321279995888588,53.122277956702355,-1.0124166754234452,53.333333333333336,30
5,MLP,extended,0.011612477821694526,0.00025680004769446514,0.016024981987336682,39.789410738213846,-0.897653537711727,50.0,30
6,MLP,extended,0.01311502520527259,0.00027469694844572755,0.01657398408487614,33.791454776912325,-0.2567247200809293,46.666666666666664,30
7,MLP,extended,0.03187565504405141,0.0015325369864908963,0.039147630662543245,56.557221348210504,-2.9060338474784286,63.33333333333333,30
8,MLP,extended,0.04743858297640391,0.003907557143052469,0.06251045626975113,102.82742242767856,-12.391531560275872,53.333333333333336,30
9,MLP,extended,0.013166583494381491,0.0006330403407904309,0.025160292939280952,33.22915230294934,-0.353942801172052,60.0,30
10,MLP,extended,0.016704866658800378,0.0004525781961373624,0.021273885308926585,45.893277930614715,-2.216793058870731,53.333333333333336,30
11,MLP,extended,0.015547981021255214,0.0003776852164074088,0.0194341250486717,47.10413649780239,-1.3781389072324415,63.33333333333333,30
12,MLP,extended,0.017762339886727714,0.00048372029288005217,0.021993642101299463,52.42837320089454,-0.12590148980235227,63.33333333333333,30
13,MLP,extended,0.01001421229097575,0.00016181599354890826,0.012720691551519841,33.599834520711205,-1.8606413870583207,56.666666666666664,30
14,MLP,extended,0.006768330425029064,8.012212920641341e-05,0.008951096536537488,37.1616098912522,-0.5006696460009077,53.333333333333336,30
15,MLP,extended,0.00964380852669543,0.00013946549646418326,0.011809551069544653,42.02360404005438,0.03339709640201227,63.33333333333333,30
16,MLP,extended,0.021622262774397168,0.0007221748951158084,0.02687331194914033,137.06060394491533,-21.170149272453124,46.666666666666664,30
17,MLP,extended,0.011376101341413102,0.0004211266946590913,0.02052137165637549,60.76272751323669,-0.4033774661717484,50.0,30
18,MLP,extended,0.01491296834150946,0.0003457108402892122,0.0185933009519346,75.1032836015573,-7.105163193103106,43.333333333333336,30
19,MLP,extended,0.018541231386971096,0.000602916503530042,0.024554358137203303,77.00460118244625,-2.441038001103002,46.666666666666664,30
20,MLP,extended,0.009455682153362205,0.00011014761736934502,0.010495123504244483,45.458130402670605,-3.091278531996024,50.0,30
21,MLP,extended,0.011286252535317632,0.00020192634289376967,0.014210078919336433,40.62908033487878,-0.8704911313803949,63.33333333333333,30
22,MLP,extended,0.023159408156275367,0.0010036073796714192,0.03167976293584627,99.81662932769964,-8.736316715377525,56.666666666666664,30
1,LSTM,extended,0.008594069934216065,0.0003268558944853194,0.018079156354357893,24.491480357365838,0.08104647152336497,60.0,30
2,LSTM,extended,0.008295911198112228,0.0001354650328411903,0.011638944661832115,32.75614967265541,0.09551365249418253,70.0,30
3,LSTM,extended,0.033436945105259616,0.004647044936606781,0.06816923746534635,34.06993342094061,-0.15744778120705405,66.66666666666666,30
4,LSTM,extended,0.00850429296397664,0.00014760886712357325,0.01214943896332556,40.504343671691416,-0.11512081856581013,66.66666666666666,30
5,LSTM,extended,0.014095614702489311,0.0002388121925909975,0.01545354951430245,73.24988184437514,-0.7647302100900981,60.0,30
6,LSTM,extended,0.009830770475629856,0.0002214013299805594,0.014879560812757861,22.201094807946646,-0.012899946721965705,66.66666666666666,30
7,LSTM,extended,0.012684967746675456,0.000313673193517981,0.01771082136768312,24.526547414781422,0.20052949995464053,46.666666666666664,30
8,LSTM,extended,0.013166853229771907,0.00034227411616644386,0.018500651776800835,20.73822770082819,-0.17300258476269126,60.0,30
9,LSTM,extended,0.009522815510561215,0.000508178161769823,0.02254280731785247,21.011222573560545,-0.08688833792485973,70.0,30
10,LSTM,extended,0.007777113756025356,0.0001649903958983414,0.012844858734074946,18.404337505316803,-0.17270333576793262,63.33333333333333,30
11,LSTM,extended,0.010577001375785622,0.00018072967004660172,0.013443573559385233,26.881273546700633,-0.1379853946030014,56.666666666666664,30
12,LSTM,extended,0.012378471121753842,0.0003717951970206766,0.01928199152112345,26.362021447792312,0.13461400650656608,60.0,30
13,LSTM,extended,0.005756441785591748,5.480162673183393e-05,0.007402812082704378,22.29863003917549,0.03119711427150551,60.0,30
14,LSTM,extended,0.010876644068087188,0.00014903980862721083,0.01220818613174008,90.29544141095462,-1.7914824414668273,40.0,30
15,LSTM,extended,0.007393445874956628,0.0001238488857840694,0.011128741428574455,29.669406945833614,0.14163219117783032,76.66666666666667,30
16,LSTM,extended,0.009724699023971531,0.00011598031959965963,0.010769415935864843,67.26673771436651,-2.5604962393201705,53.333333333333336,30
17,LSTM,extended,0.010084598317248108,0.00029363318041111146,0.01713572818444292,91.10749869168153,0.02148642217306751,56.666666666666664,30
18,LSTM,extended,0.006237549045565895,6.039892925828958e-05,0.007771674803946031,42.22813086113039,-0.4160480993815199,63.33333333333333,30
19,LSTM,extended,0.008376329112745594,0.00014761329103004294,0.01214962102413252,29.783899001413122,0.1575235693030833,70.0,30
20,LSTM,extended,0.009136087097028994,0.000117253623043544,0.010828371209168255,54.4643597776753,-3.355221131549552,50.0,30
21,LSTM,extended,0.009357919320503281,0.0001955379636673337,0.013983488966181998,39.43447486883486,-0.8113140744610328,63.33333333333333,30
22,LSTM,extended,0.00671461283852103,9.252687433912213e-05,0.009619089059735445,23.39642866345836,0.10236714924856827,66.66666666666666,30
